commune,year,month,n_households,Maize,Sorghum,Millet,Rice,Cassava Root,Cassava Leaves,Sweet Potato,Other Tubers,Peanuts,Cowpeas,Beans,Dolique,Other Legumues,item_14,green/white cactus,red cactus,vegetables,melons,other fruit,cactus leaves,other leaves,beef,other meat,milk products,item 25,watermelon,peas,fish products,other,eggs,sugar
1,2018,8,145,0.1586,0.0276,0.0,0.0621,0.2621,0.0276,0.0276,0.0069,0.0069,0.1103,0.0,0.0,0.0138,0.0069,0.0,0.7862,0.0,0.0069,0.0,0.0483,0.0069,0.0138,0.0,0.0069,0.0,0.0,0.0,0.0,,,
1,2018,9,141,0.1489,0.0,0.0,0.4397,0.5461,0.0142,0.0426,0.0071,0.0,0.0284,0.0,0.0,0.0071,0.0,0.0,0.6383,0.0071,0.0071,0.0,0.0,0.0071,0.0071,0.0,0.0,0.0,0.0,0.2979,0.0496,0.3191,0.0,0.0
1,2018,10,124,0.1774,0.0,0.0,0.3548,0.4677,0.0081,0.0806,0.0242,0.0,0.0887,0.0,0.0,0.0,0.0,0.0,0.8145,0.0,0.0161,0.0,0.0161,0.129,0.0081,0.0,0.0,0.0,0.0,0.2339,0.0323,0.1935,0.0,0.0
1,2018,11,140,0.2857,0.0,0.0071,0.1786,0.45,0.1071,0.0286,0.0,0.0,0.0571,0.0,0.0,0.0,0.0786,0.0,0.75,0.0357,0.0071,0.0,0.0143,0.0643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071,0.0143,0.0
1,2018,12,65,0.2154,0.0154,0.0,0.1538,0.4769,0.0615,0.0,0.0615,0.0,0.0462,0.0154,0.0,0.0308,0.0154,0.0462,0.6308,0.0154,0.0154,0.0769,0.1077,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462,0.0,0.0
1,2019,1,115,0.0696,0.0,0.0,0.6609,0.2,0.1652,0.0,0.0957,0.0,0.0174,0.0,0.0,0.0,0.0,0.3826,0.487,0.0,0.0,0.0,0.0696,0.8,0.0,0.0174,0.0,0.0,0.0,0.0,0.0,0.0261,0.0,0.0
1,2019,2,142,0.0986,0.0211,0.0,0.2676,0.0423,0.1338,0.0211,0.007,0.0,0.0141,0.0,0.0,0.0211,0.0352,0.3944,0.2676,0.0211,0.007,0.0282,0.1056,0.3803,0.0,0.0,0.007,0.0141,0.0,0.0141,0.007,0.0845,0.0,0.0
1,2019,3,144,0.25,0.25,0.0,0.125,0.0,0.0972,0.0,0.0139,0.0,0.0833,0.0,0.0,0.0069,0.0764,0.3681,0.1875,0.0278,0.1667,0.0694,0.0,0.4167,0.0,0.0,0.0069,0.125,0.0,0.0486,0.0,0.1181,0.0,0.0
1,2019,4,142,0.3028,0.0986,0.0211,0.0704,0.0141,0.0915,0.0,0.007,0.007,0.169,0.0,0.0,0.0211,0.0775,0.0634,0.1831,0.0423,0.2183,0.0704,0.0,0.338,0.0,0.0,0.0141,0.0986,0.0,0.0704,0.0,0.2465,0.0,0.0
1,2019,5,143,0.6573,0.3357,0.035,0.028,0.049,0.1189,0.0629,0.0,0.007,0.2517,0.0,0.0,0.028,0.007,0.007,0.1259,0.007,0.0769,0.0,0.0,0.2238,0.0,0.0,0.0,0.2308,0.0,0.1119,0.0,0.3357,0.0,0.0
1,2019,6,144,0.4167,0.5069,0.0278,0.0069,0.0833,0.0069,0.3681,0.0,0.0,0.5069,0.0,0.0,0.0208,0.0486,0.0139,0.0764,0.0069,0.0347,0.0,0.0,0.0972,0.0,0.0,0.0,0.3681,0.0,0.2569,0.0139,0.2639,0.0,0.0
1,2019,7,141,0.1418,0.7234,0.0071,0.0071,0.234,0.0,0.5248,0.0142,0.0,0.4184,0.0,0.0,0.0,0.0922,0.0284,0.0426,0.0355,0.0213,0.0,0.0,0.1489,0.0071,0.0,0.0,0.5532,0.0,0.4752,0.0213,0.3901,0.0,0.0
1,2019,9,142,0.2324,0.4859,0.0,0.0,0.4366,0.0,0.6479,0.007,0.0,0.2817,0.007,0.007,0.1268,0.0,0.0,0.0423,0.0141,0.0,0.0,0.0,0.0845,0.007,0.0,0.0,0.2606,0.0,0.1972,0.0211,0.0352,0.0,0.0
1,2019,10,142,0.1857,0.3714,0.0,0.0,0.5,0.0071,0.7214,0.0,0.0,0.2286,0.0,0.0,0.2571,0.0,0.0,0.0071,0.0,0.0286,0.0,0.0,0.1071,0.0,0.0,0.0,0.2,0.0,0.15,0.0071,0.2,0.0,0.0
1,2019,11,130,0.2231,0.6692,0.0,0.0,0.5538,0.0538,0.8,0.0,0.0231,0.3615,0.0,0.0,0.5538,0.0,0.0,0.0154,0.0,0.0308,0.0,0.0,0.0077,0.0,0.0,0.0,0.6923,0.0,0.5154,0.0846,0.1,0.0,0.0
1,2019,12,135,0.1704,0.2963,0.0,0.0,0.6222,0.0741,0.7185,0.0,0.0,0.2593,0.0,0.0,0.5556,0.0,0.0,0.0074,0.0,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.4741,0.0,0.1704,0.2,0.0074,0.0,0.0
1,2020,1,138,0.4058,0.0507,0.0,0.0,0.4275,0.0797,0.4203,0.0,0.0,0.1594,0.0,0.0,0.0145,0.0,0.5797,0.0072,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.0072,0.0507,0.0,0.0,0.0
1,2020,2,137,0.3577,0.5766,0.0,0.0,0.2847,0.0146,0.1752,0.0,0.0,0.0365,0.0,0.0,0.0073,0.0,0.6131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358,0.0,0.3504,0.0073,0.0219,0.0,0.0
1,2020,3,138,0.442,0.2319,0.0,0.0725,0.2681,0.058,0.0725,0.0,0.0,0.0362,0.0,0.0,0.0362,0.1739,0.6884,0.0,0.0652,0.0,0.0,0.0,0.1014,0.0,0.0,0.0,0.3116,0.0,0.0797,0.0,0.0072,0.0,0.0
1,2020,4,133,0.3684,0.3008,0.0,0.0827,0.1729,0.0301,0.015,0.0301,0.0,0.1729,0.0,0.0,0.0075,0.1203,0.2932,0.015,0.0451,0.0226,0.0,0.0,0.1504,0.0,0.0,0.0,0.2105,0.0,0.1203,0.0,0.0226,0.0,0.0
1,2020,5,138,0.7101,0.058,0.0,0.0072,0.1812,0.1159,0.0145,0.029,0.0,0.1957,0.0,0.0,0.0,0.1594,0.2319,0.0362,0.0217,0.0072,0.0,0.0,0.029,0.0,0.0,0.0,0.4058,0.0,0.2391,0.0,0.2174,0.0,0.0
1,2020,6,134,0.4552,0.4254,0.0,0.0075,0.2612,0.0746,0.0522,0.0,0.0,0.0821,0.0,0.0,0.0,0.0149,0.0,0.0522,0.0,0.0,0.0,0.0,0.1493,0.0,0.0,0.0,0.1642,0.0,0.0224,0.0075,0.4478,0.0,0.0
1,2020,7,141,0.4681,0.1064,0.0,0.0355,0.6454,0.234,0.0355,0.0071,0.0,0.0426,0.0,0.0,0.0,0.0355,0.0,0.0496,0.0071,0.0,0.0,0.0,0.1064,0.0,0.0,0.0,0.2128,0.0,0.0,0.0071,0.0142,0.0,0.0
1,2020,8,135,0.2074,0.2074,0.0,0.0148,0.9333,0.0296,0.0519,0.0,0.0,0.0519,0.0,0.0,0.0,0.0074,0.0,0.0667,0.0,0.0,0.0,0.0074,0.5111,0.0,0.0,0.0,0.3111,0.0,0.037,0.0222,0.0148,0.0,0.0
1,2020,9,124,0.121,0.4113,0.0,0.0645,0.8145,0.1774,0.1371,0.0,0.0,0.0242,0.0,0.0,0.0081,0.0242,0.0,0.0806,0.0,0.0,0.0,0.0,0.3468,0.0,0.0,0.0,0.4032,0.0,0.1694,0.0,0.2258,0.0,0.0
1,2020,10,138,0.2899,0.0435,0.0,0.0942,0.913,0.2029,0.2609,0.0,0.0,0.0435,0.0,0.0,0.0,0.0,0.0,0.1957,0.0,0.0,0.0,0.0072,0.4203,0.0,0.0,0.0,0.3188,0.0,0.0,0.0,0.0217,0.0,0.0
