commune,YearMonth,ndvi,PC1_Score
1,2018-08,0.2762077129034145,-0.2874754870973267
1,2018-09,0.266921568381028,-0.342320063667873
1,2018-10,0.2901031998580468,-0.3588097591194271
1,2018-11,0.29188155223695256,-0.36586056651825
1,2018-12,0.28904304332706615,-0.3496533977628815
1,2019-01,0.3807243389821299,-0.048569956303663
1,2019-02,0.5271536729041755,0.120119127415835
1,2019-03,0.5564349208170594,0.3398241744376124
1,2019-04,0.4962163222344118,0.2816908008912146
1,2019-05,0.45093810716589655,0.4914110591803294
1,2019-06,0.41785536438145376,0.5715451828276402
1,2019-07,0.380322064784403,0.5515982197304407
1,2019-09,0.365969805535849,0.2687879822689854
1,2019-10,0.39713585106698,0.1727998237579403
1,2019-11,0.40175289349491644,0.3736575561608274
1,2019-12,0.4523862943850927,0.0600819624834686
1,2020-01,0.40651834712688867,0.0978524030351017
1,2020-02,0.398613611503336,0.4412488512695013
1,2020-03,0.40149207055493463,0.2787637056103242
1,2020-04,0.4073447851233278,0.352395302734778
1,2020-05,0.370037913970483,0.3505040788452082
1,2020-06,0.34239101769652813,0.3047822574730361
1,2020-07,0.3148660985994097,-0.0931202135814357
1,2020-08,0.28667821715180586,-0.2857931172483843
1,2020-09,0.2626116810562029,-0.1295710123490878
1,2020-10,0.2422953237236526,-0.3660289105976044
1,2020-11,0.2367624319526634,-0.4516163320496026
1,2020-12,0.2436543222694577,0.2332450677611272
1,2021-01,0.29648849786840065,-0.1564654365880823
1,2021-02,0.401411310969204,0.4021001131264686
1,2021-03,0.43040656078537515,0.5006160726944068
1,2021-05,0.43901043704684517,0.5903926054622884
1,2021-06,0.4127623630053836,0.5090622856967987
1,2021-07,0.36777800566115526,0.4071696899369292
1,2021-08,0.3126041883680558,0.1975000778353993
1,2021-09,0.27632419471316727,0.1821310406325013
1,2021-10,0.2677429990539259,0.0859345696035605
1,2021-11,0.24971788414061813,0.0273714173605654
1,2021-12,0.2557065775415473,0.1550039051601132
1,2022-01,0.2952997636531798,0.2387710946170721
1,2022-02,0.4137110341926157,0.4268634680945568
2,2018-08,0.2762252417440762,-0.3331707297703338
2,2018-09,0.2618983387289016,-0.2143111452811266
2,2018-10,0.2776472947007877,-0.321017331865083
2,2018-11,0.2919526275348442,-0.1345033180481313
2,2018-12,0.28077079439609,-0.2781533139237703
2,2019-01,0.344759066549829,-0.18258755530288
2,2019-02,0.4815999697831811,0.1539216762876574
2,2019-03,0.5224870542280362,0.3884016974002748
2,2019-04,0.4841859322097056,0.4910427331379585
2,2019-05,0.45894830086121036,0.5366022350303022
2,2019-06,0.43704291031275455,0.3388846056746865
2,2019-07,0.40781066231902985,0.3971462329257221
2,2019-08,0.3684092005135702,0.0790350971404336
2,2019-09,0.35447264026000885,0.1468748402984647
2,2019-10,0.3938750972978987,0.0101679294381409
2,2019-11,0.391746940763246,-0.1022425964817465
2,2019-12,0.42264399104813366,-0.2698334564117003
2,2020-01,0.38088335826757,-0.3412269395044133
2,2020-02,0.36042424105667903,-0.3124886153720695
2,2020-03,0.39079005528964245,-0.1518116932780811
2,2020-04,0.38440035734540856,-0.3886385286075337
2,2020-05,0.3636414712663333,0.1719927852377593
2,2020-06,0.33321533407696696,-0.0862405366315017
2,2020-07,0.3088159012895898,-0.2709477426781303
2,2020-08,0.2848944396839095,-0.271375088767488
2,2020-09,0.26192126597474186,-0.494598341438482
2,2020-10,0.24250623198025115,-0.5685654117120229
2,2020-11,0.2358201614924122,-0.4437004879638928
2,2020-12,0.2352529420087462,-0.4531832516437576
2,2021-01,0.2550673758965778,-0.1547589953322513
2,2021-02,0.31610648723568824,0.0177466504199636
2,2021-03,0.37715946798064526,0.134921051438245
2,2021-04,0.4380818120376556,0.1807105290121703
2,2021-05,0.43970307145374793,0.5459092259909097
2,2021-06,0.43441965685444783,0.1906227162692892
2,2021-07,0.40106242694554783,-0.0931103743484988
2,2021-08,0.35037954641997027,-0.2903673296992426
2,2021-09,0.30043195945176865,-0.3378769548206043
2,2021-10,0.2780526687116571,-0.2278676305420008
2,2021-11,0.2597680480992398,-0.255354504314427
2,2021-12,0.2638848363215208,-0.1875640467798987
2,2022-01,0.3254814389144539,-0.1786435987646553
2,2022-02,0.41537947531832176,-0.1402163411962181
3,2018-08,0.35042378653238493,-0.1951438229379131
3,2018-09,0.3236639657620394,-0.2831839139588483
3,2018-10,0.3469241335895569,-0.399668926736528
